Borough,Crime Type,Count,Adjusted crime types per 1000 population,Population
Redbridge,Other Accepted Crime,2823,9.249005642,"305,222"
Redbridge,Possession of Weapons,260,0.851838989,"305,222"
Redbridge,Public Order Offences,1325,4.341102542,"305,222"
Redbridge,Robbery,1041,3.410632261,"305,222"
Redbridge,Sexual Offences,505,1.654533422,"305,222"
Redbridge,Theft,5021,16.45032141,"305,222"
Redbridge,Vehicle Offences,4930,16.15217776,"305,222"
Redbridge,Violence Against the Person,6883,22.55079909,"305,222"
Richmond upon Thames,Arson and Criminal Damage,1050,5.302521475,"198,019"
Richmond upon Thames,Burglary,1609,8.125482908,"198,019"
Richmond upon Thames,Drug Offences,454,2.292709285,"198,019"
Richmond upon Thames,Miscellaneous Crimes Against Society,146,0.737302986,"198,019"
Richmond upon Thames,Other Accepted Crime,1413,7.135678899,"198,019"
Richmond upon Thames,Possession of Weapons,86,0.434301759,"198,019"
Richmond upon Thames,Public Order Offences,923,4.661168878,"198,019"
Richmond upon Thames,Robbery,471,2.378559633,"198,019"
Richmond upon Thames,Sexual Offences,302,1.525106177,"198,019"
Richmond upon Thames,Theft,3087,15.58941314,"198,019"
Richmond upon Thames,Vehicle Offences,2395,12.09479898,"198,019"
Richmond upon Thames,Violence Against the Person,3191,16.11461526,"198,019"
Southwark,Arson and Criminal Damage,2275,7.13546404,"318,830"
Southwark,Burglary,3367,10.56048678,"318,830"
Southwark,Drug Offences,3596,11.27873789,"318,830"
Southwark,Miscellaneous Crimes Against Society,501,1.571370323,"318,830"
Southwark,Other Accepted Crime,3195,10.02101433,"318,830"
Southwark,Possession of Weapons,600,1.881880626,"318,830"
Southwark,Public Order Offences,2254,7.069598218,"318,830"
Southwark,Robbery,2594,8.13599724,"318,830"
Southwark,Sexual Offences,850,2.665997554,"318,830"
Southwark,Theft,13110,41.11909168,"318,830"
Southwark,Vehicle Offences,4058,12.72778597,"318,830"
Southwark,Violence Against the Person,9848,30.88793401,"318,830"
Sutton,Arson and Criminal Damage,1205,5.839621224,"206,349"
Sutton,Burglary,1406,6.813699121,"206,349"
Sutton,Drug Offences,743,3.600695908,"206,349"
Sutton,Miscellaneous Crimes Against Society,211,1.022539484,"206,349"
Sutton,Other Accepted Crime,1870,9.062316755,"206,349"
Sutton,Possession of Weapons,152,0.736616121,"206,349"
Sutton,Public Order Offences,1013,4.909158755,"206,349"
Sutton,Robbery,319,1.545924623,"206,349"
Sutton,Sexual Offences,298,1.44415529,"206,349"
Sutton,Theft,2796,13.5498597,"206,349"
Sutton,Vehicle Offences,2228,10.79724157,"206,349"
Sutton,Violence Against the Person,4547,22.03548357,"206,349"
Tower Hamlets,Arson and Criminal Damage,2217,6.826894948,"324,745"
Tower Hamlets,Burglary,3369,10.37429368,"324,745"
Tower Hamlets,Drug Offences,3765,11.59371199,"324,745"
Tower Hamlets,Miscellaneous Crimes Against Society,540,1.662843154,"324,745"
Tower Hamlets,Other Accepted Crime,3703,11.40279296,"324,745"
Tower Hamlets,Possession of Weapons,519,1.598177031,"324,745"
Tower Hamlets,Public Order Offences,2567,7.904663659,"324,745"
Tower Hamlets,Robbery,1540,4.742182328,"324,745"
Tower Hamlets,Sexual Offences,844,2.598962263,"324,745"
Tower Hamlets,Theft,9693,29.84803461,"324,745"
Tower Hamlets,Vehicle Offences,4293,13.21960307,"324,745"
Tower Hamlets,Violence Against the Person,9462,29.13670726,"324,745"
Waltham Forest,Arson and Criminal Damage,1793,6.473321467,"276,983"
Waltham Forest,Burglary,2053,7.412007235,"276,983"
Waltham Forest,Drug Offences,2401,8.668402032,"276,983"
Waltham Forest,Miscellaneous Crimes Against Society,356,1.285277436,"276,983"
Waltham Forest,Other Accepted Crime,2832,10.22445421,"276,983"
Waltham Forest,Possession of Weapons,405,1.4621836,"276,983"
Waltham Forest,Public Order Offences,1353,4.884776322,"276,983"
Waltham Forest,Robbery,885,3.19514194,"276,983"
Waltham Forest,Sexual Offences,522,1.884592195,"276,983"
Waltham Forest,Theft,5287,19.08781405,"276,983"
Waltham Forest,Vehicle Offences,4406,15.90711343,"276,983"
Waltham Forest,Violence Against the Person,6777,24.46720557,"276,983"
Wandsworth,Arson and Criminal Damage,1757,5.329458834,"329,677"
Wandsworth,Burglary,2861,8.678191078,"329,677"
Wandsworth,Drug Offences,1318,3.997852443,"329,677"
Wandsworth,Miscellaneous Crimes Against Society,383,1.161743161,"329,677"
Wandsworth,Other Accepted Crime,2708,8.214100468,"329,677"
Wandsworth,Possession of Weapons,278,0.843249605,"329,677"
Wandsworth,Public Order Offences,1771,5.371924641,"329,677"
Wandsworth,Robbery,947,2.872508546,"329,677"
Wandsworth,Sexual Offences,748,2.268887426,"329,677"
Wandsworth,Theft,6646,20.15912545,"329,677"
Wandsworth,Vehicle Offences,4256,12.90960546,"329,677"
Wandsworth,Violence Against the Person,7263,22.03065425,"329,677"
Westminster,Arson and Criminal Damage,2590,9.911333744,"261,317"
Westminster,Burglary,4891,18.71673102,"261,317"
Westminster,Drug Offences,4332,16.57756671,"261,317"
Westminster,Miscellaneous Crimes Against Society,550,2.104723382,"261,317"
Westminster,Other Accepted Crime,3809,14.57616611,"261,317"
Westminster,Possession of Weapons,688,2.632817612,"261,317"
Westminster,Public Order Offences,3840,14.69479598,"261,317"
Westminster,Robbery,4645,17.77534565,"261,317"
Westminster,Sexual Offences,1240,4.745194534,"261,317"
Westminster,Theft,47320,181.0827462,"261,317"
Westminster,Vehicle Offences,4954,18.95781752,"261,317"
Westminster,Violence Against the Person,12211,46.72868585,"261,317"
